UNK
the
BILLY
a
his
to
and
of
in
is
with
I
on
at
s
you
it
him
he
up
out
A
MAX
The
He
back
Billy
THE
BELL
as
into
for
t
from
down
are
looks
by
ZIAT
HAMIDOU
You
eyes
now
all
over
CUT
this
like
but
OFF
off
that
your
them
around
know
one
face
ANOTHER
head
ANGLE
me
has
get
VOICE
we
an
SUSAN
they
looking
It
not
have
be
S
OFFICER
other
here
Turkish
don
do
They
ERICH
right
go
their
then
her
look
And
about
can
re
through
No
away
what
who
there
We
GUARD
DRIVER
FATHER
His
see
some
no
man
my
But
What
open
just
time
two
SECOND
got
moves
GUARDS
again
himself
going
was
m
TWO
more
continuous
old
Then
ll
FIRST
very
years
fuck
wall
been
makes
each
against
door
hands
so
good
room
where
way
TEX
bunk
comes
still
voice
hand
SOLDIERS
tea
make
YESIL
MOVE
hard
TURKISH
than
towards
if
money
prison
SOUND
suddenly
big
another
floor
Max
DAVIS
will
takes
trying
There
its
long
P
O
V
walks
turns
expression
pulls
Yeah
That
under
something
starts
side
screaming
bad
stone
feet
little
glances
runs
sits
never
come
OVER
stick
Ziat
move
American
She
before
In
Vilyum
yes
running
black
night
Hamidou
same
OF
being
across
moving
FACE
d
arms
or
onto
mouth
hair
Bell
KOGUS
MAN
sentence
JUDGE
AHMET
own
English
goes
take
gesture
past
anything
stops
Oh
doesn
HIS
next
shakes
How
three
PRISONERS
ROOM
new
PASSENGERS
distance
only
arm
between
any
work
first
let
Hi
pain
our
small
must
cell
THREE
too
LUNATICS
TO
wooden
think
ve
cigarette
reaches
DOOR
Hey
coming
Susan
fast
others
inside
last
window
shit
2
which
walk
AND
STAIRS
HALFTRACK
light
sense
without
puts
Take
seat
smile
far
smiles
Turkey
slowly
silence
among
really
suit
Turks
much
cab
fucking
left
COURTYARD
SOLDIER
OLD
white
bed
body
dark
several
she
pause
CLOSE
shoulder
together
shaking
Just
background
TURK
ground
watching
AD
LIB
because
sees
If
people
father
Istanbul
give
blood
gonna
feel
breath
crazy
half
Yesil
were
BUNK
ATTENDANT
large
BACK
hear
walking
ahead
opens
moment
To
behind
ass
knees
us
wrong
says
position
table
place
had
seem
hashish
legs
quickly
grins
turning
front
nothing
sure
life
gotta
water
Okay
Where
Greece
shaft
Hop
Hayes
STORY
neck
On
high
HAND
With
guards
glasses
puzzled
Suddenly
throat
almost
waving
Jesus
run
set
ATTENDANTS
fingers
thirty
Don
along
attention
huge
nods
seems
Two
deep
leans
say
leads
find
CABDRIVER
rises
This
steps
close
Looks
beds
months
FLOOR
ASLAN
YOUNG
Get
falaka
want
Court
after
getting
SLOW
MOTION
BEER
shirt
SOUNDS
top
belly
naked
every
New
CORRIDOR
bag
holding
sweat
closes
mirror
could
tell
POLICEMAN
beginning
already
plane
real
tone
both
chest
An
pulling
silently
air
loud
pointing
did
afraid
standing
days
didn
hash
Pause
tries
TURKS
tense
surprised
six
Allah
Dad
ever
teeth
late
end
sheet
anger
eye
SCREAM
Come
Erich
keep
walls
sometimes
ear
even
when
lawyer
full
forward
NIGHT
filthy
SINK
CAB
TIGHT
dirty
followed
1
York
clothes
group
closer
words
staring
bus
feeling
FOR
everything
low
view
young
approaches
gestures
continuing
stares
gun
straight
closed
scared
stairs
lost
desk
themselves
pay
once
Another
watches
LOUD
THIRD
prisoner
Who
also
thick
blue
four
kids
Well
world
sounds
working
wanted
Let
car
sit
blow
cause
possible
Please
five
wearing
bars
nose
eyed
pants
courtyard
Jimmy
broken
playing
bail
border
gets
caught
Aslan
heavily
CAT
mean
follows
Davis
maybe
seen
shuffles
ball
friend
heard
shrugs
stones
TRANSLATOR
album
steam
road
ON
boots
One
stop
SHOT
plaques
ready
edge
dressed
Turns
aside
grabbing
understanding
seated
paper
OUT
anybody
things
sound
For
line
foreground
My
fear
gently
All
PLAINCLOTHESMEN
officer
lightly
LONG
excited
EYES
movement
stands
strong
silent
smoke
grinning
smiling
put
talk
OTHERS
told
upwards
stare
business
cut
these
DETECTIVE
Good
smuggling
guy
except
Something
nervous
sell
em
narrow
hold
why
newspaper
gone
try
various
slips
tears
FEET
follow
above
red
talking
leading
show
Glances
NOISE
foreigners
might
hate
Turk
tie
boy
am
Mr
count
PROSECUTOR
continues
Prosecutor
OTHER
Prison
Kogus
pigs
using
early
lose
morning
blues
factory
THUCK
SCREEN
ISTANBUL
SHARP
IN
sweater
windows
HANDS
tape
TAPE
HASHISH
Four
pulled
UP
tightly
INTERIOR
rather
sunglasses
casually
green
breaks
waiting
olive
pushing
Nebu
game
indicates
save
grip
shut
better
thinking
changes
POLICE
realizes
AMERICAN
usual
sudden
Go
fierce
stupid
starting
PAN
rest
found
indicating
pass
area
doing
ramp
passing
glance
angry
TABLE
break
yells
flow
roughly
understands
OFFICERS
mother
Very
bewildered
jumps
chair
yet
immediately
shoulders
grin
faces
speak
piece
spread
strange
leaning
Yes
cool
rear
kicking
bout
drug
kilos
love
feels
driver
friends
crying
eating
sort
shifts
3
begins
enough
PRISON
made
Dear
dead
thought
ten
need
bath
understand
blanket
empty
sharp
staggers
ceiling
skull
thing
taking
SCREAMS
tied
intense
Swedish
points
Getchmis
stoned
yard
glass
prisoners
story
kogus
sneakers
wet
beating
taken
Why
name
leaves
stove
outside
Maybe
soft
free
eat
lot
heavy
leather
track
cat
roof
Consul
son
tired
worry
how
toilet
day
play
throws
enters
few
everybody
apart
KITCHEN
machine
those
babe
STONE
monastery
cloister
53
grill
SHAFT
swings
steal
shock
Greek
AN
motion
Cigare
keeps
machines
LUNATIC
poppy
STEAM
TANK
incline
DOG
William
IT
RIP
TOILET
suggesting
laid
pressed
FULL
crowded
FOLLOW
Pan
passport
fair
catch
panic
knows
smoking
uniform
FINGERS
Long
books
frisbee
throw
Ah
colored
waves
BUS
bench
shows
faint
Never
annoyed
PLANE
Also
children
gathering
exit
cold
God
freezes
Now
means
best
loose
quite
commotion
passengers
chin
bringing
either
hope
searching
twenty
searched
notice
sky
startled
frame
jumping
scream
pointed
nervously
pull
revealing
rise
led
manages
Many
calls
police
cigarettes
Is
fly
camera
cups
Yok
strides
further
turn
CAMERA
interrupting
CAMERAMAN
bunch
handed
fist
putting
sitting
etc
screams
start
muscular
buttocks
would
murmurs
tall
tomorrow
men
SHOTS
Got
family
STREET
adjacent
laughing
joking
happen
equally
glancing
making
gaze
chance
eases
calm
Mom
Will
Can
motions
Your
WALKWAY
blankets
reach
rip
hanging
guard
shaped
giving
amused
such
hint
SMASHES
palm
force
CLUB
THWACK
club
backs
killed
fat
soap
radio
well
thin
sun
news
13
50
illegal
shouting
kill
physical
KIDS
works
round
having
Twenty
laughs
law
asshole
balls
angrily
passive
Gastro
amid
bent
separate
striped
Right
Mister
use
So
stuff
COURTROOM
yellow
JUDGES
ask
possession
crosses
bank
lies
TRAIN
else
strength
taught
RADIO
ayip
supposed
SONS
listening
beats
Poor
sons
won
rushing
calling
fresh
hat
Hikmet
visitor
Ankara
mistake
candle
said
lunatic
catacombs
someplace
wheel
Shit
edges
hernia
covered
STONES
cave
cuts
WHAT
shaken
today
gave
SONG
guitar
sas
stucco
believe
grabs
DAY
shake
downwards
sharply
blackened
hole
holds
listen
lined
ME
kiyis
smashing
totally
beads
clockwise
river
seventy
BLOW
CLERK
tank
SUPERIMPOSE
UNDER
greenish
AFTERNOON
strip
F
X
